"Screen name","Full name",Location,Followers,Friends,Created,Tweets,"Last tweet",Bio,URL,"% tweets w/ URLs","% retweets in timeline","% tweets w @contacts","Social Authority","Follows @FIRDANIZA2","@FIRDANIZA2 follows"
fadjroeL,"Fadjroel Rachman","Jakarta, Indonesia","1,032,517","118,239","16 Dec 2008 07:06:18","297,364","04 Jul 2021 07:49:08","Dr. M. Fadjroel Rachman l #BungFADJROEL #StafKhususPresiden_Komunikasi l Special Staff to the President @jokowi (Communication) l Masuk Bersih di Dalam Bersih2",https://youtube.com/channel/UCc2JACtczPy2CxoSvlpRSew,33.5,66,0.5,72.7,,
ReflyHZ,"Refly Harun",Jakarta,"349,996",215,"31 Aug 2010 07:50:17","2,064","03 Jul 2021 08:01:44","🎯Constitutional Lawyer ⛳Lecturer 🚩Tidak ikut perkubuan politik 📚 Instagram: https://t.co/KkyKG3n0sC. 📢 Tidak melayani makian.😊",,92,0,5,71.3,,
ProtectRohingya,"Protect The Rohingya","South Africa","18,098",772,"19 Sep 2013 15:27:49","23,366","02 Jul 2021 04:35:02","Raising awareness about the world's most persecuted minority",https://youtu.be/OgSUpkoO-BQ,19.5,62,16.5,70.9,,
hnurwahid,"Hidayat Nur Wahid","Jakarta Capital Region","1,478,190","1,170","29 Oct 2009 07:06:06","14,554","04 Jul 2021 12:24:13","Wakil Ketua MPR RI 2019-2024 | Anggota FPKS DPR RI Dapil DKI Jakarta II | Wakil Ketua Majelis Syura PKS 2015-2025 | Berkontribusi & bermanfaat bagi sesama",https://www.youtube.com/channel/UCRuvdH1XhCW8u-V_A18X2cg,44.5,55.5,1.5,81.1,,
mohmahfudmd,"Mahfud MD",Jakarta,"3,728,140",636,"14 Apr 2011 11:37:48","25,429","03 Jul 2021 11:39:57","Menteri Koordinator Bidang Politik, Hukum, dan Keamanan RI Kabinet Indonesia Maju 2019-2024",,98,1,1.5,80,,"01 Jul 2021"
msaid_didu,"Muhammad Said Didu",,"479,946",778,"16 Apr 2019 03:17:01","68,437","05 Jul 2021 09:05:20","Katakan yang benar walau pahit! Gusur kebohongan dengan Akal Sehat",,14.6,84.4,1,90.9,,
sandiuno,"Sandiaga Salahuddin Uno","Jakarta Capital Region, Indonesia","3,082,772",376,"12 Apr 2010 03:32:01","33,818","03 Jul 2021 11:33:22","#Kerja4As: Kerja Keras, Kerja Cerdas, Kerja Tuntas, dan Kerja Ikhlas.",,93,0,0,72.4,,"01 Jul 2021"
TwitIslami,"Kumpulan Twit Islami",,"19,077",49,"21 Feb 2012 13:55:55",955,"16 Dec 2016 14:22:33","Kumpulan Nasihat Penggugah Semangat berIslam yang shahih. Find us at: http://t.co/hMV2UFSc5i and http://t.co/uyJA5BQqhg",http://twitislami.tumblr.com,16,5.5,1,29.6,,
PKSejahtera,"DPP PKS","TB. Simatupang No. 82, Jakarta","426,368",394,"01 Mar 2009 14:13:23","54,388","04 Jul 2021 09:52:33","Official account of Indonesia’s Prosperous Justice Party. E: humas@pks.id Tel: 021 7884 2116",http://www.pks.id,88,10.5,2,79.6,,
aboebakar15,"Aboe Bakar","Jakarta, Indonesia","54,879",748,"01 Sep 2010 07:09:02","13,526","01 Jul 2021 14:35:37","Pelayan rakyat. Anggota DPR RI Komisi III.",http://www.aboebakarnews.co,82,18,1.5,59.2,,
