"Screen name","Full name",Location,Followers,Friends,Created,Tweets,"Last tweet",Bio,URL,"% tweets w/ URLs","% retweets in timeline","% tweets w @contacts","Social Authority","Follows @FIRDANIZA2","@FIRDANIZA2 follows"
dw_indonesia,"DW Indonesia","Bonn, Jerman","64,700","1,094","01 Jun 2010 08:42:06","77,181","03 Jul 2021 13:50:00","Tempat diskusi asyik bagi para pecinta sains, teknologi, dan lingkungan! Mau dari Indonesia 🇮🇩, Jerman 🇩🇪, dan dunia 🌎🌍🌏, semua ada di sini!",http://www.dw.com/indonesia,93,0,4.5,70,,
KomnasHAM,"HAM untuk Semua!",Indonesia,"115,288",100,"27 Aug 2010 18:32:10","11,243","02 Jul 2021 08:58:53","Lembaga negara mandiri dengan mandat dalam: UU No. 39/1999, UU No. 26/2000, UU No. 40/2008, dan UU No. 7/2012",http://linktr.ee/KomnasHAM,90.5,0.5,0.5,54.5,,
YLBHI,YayasanLBHIndonesia,Jakarta,"83,758",172,"03 Dec 2010 04:18:33","6,259","26 Jun 2021 00:55:16","Yayasan Lembaga Bantuan Hukum Indonesia Yang menaungi 15 kantor LBH se Indonesia, dari Aceh hingga Papua",http://www.ylbhi.or.id,73,25,3,72,,
tholekanindra,Tholekanindra,tangerang,528,691,"01 Apr 2011 23:13:12","10,147","15 Dec 2020 13:20:53","Menolehlah pada kebutuhan bukan keinginan.",,0,0,0,8.6,,
MFaizGhifari,"Faiz Ghifari",,"65,320",996,"05 Aug 2011 10:22:48","15,748","03 Jul 2021 14:18:50","Tweeting about self-education and clear thinking • EIR @AntlerGlobal • Building a Learning Ecosystem • Telegram Channel https://t.co/nU6YFRmj7C",http://faizghifari.com,40.2,21.6,40.7,85.2,,
WidasSatyo,"Widas 🇵🇸",,"59,495",896,"24 Jan 2012 11:20:56","96,261","03 Jul 2021 22:53:12","Dengan menulis, kamu akan banyak membaca. Dengan membaca, kamu akan irit bicara. Dengan irit bicara, lisanmu terjaga dari perkara yg sia-sia. #AyoMenulis 📖🖊",http://WidasSatyo.Blogspot.Com,39.5,18,39.5,79.7,,
SBKCF,"wahyu tromol",srg-soc,"44,299",867,"26 May 2012 16:30:13","25,857","03 Jul 2021 11:23:19","📩 : teamsbkcf@gmail.com",,39,0,52.5,80.5,,
caknundotcom,CAKNUN.COM,Yogyakarta,"241,287",68,"08 Oct 2012 18:15:43","6,283","03 Jul 2021 05:48:21","Mengajak kita membuka yang sebelumnya belum pernah dibuka. Memandang, merumuskan dan mengelola dengan prinsip dan formula yang sebelumnya belum ditemukan.",http://www.caknun.com,50.5,48,3.5,70.4,,
ArsipNasionalRI,"Arsip Nasional RI","Cilandak, Jakarta Selatan","60,031",76,"07 Feb 2013 04:20:05","5,120","03 Jul 2021 11:54:28","Twitter resmi yang dikelola Biro Perencanaan dan Humas ANRI. Informasi seputar kegiatan, produk, dan kebijakan ANRI dalam penyelenggaraan kearsipan nasional.",http://www.anri.go.id,93.5,0,7,58.7,,
adsafha,kanjeng,headsetan,"31,674",821,"28 Aug 2013 09:23:40","116,987","04 Jul 2021 16:02:40",,,10,4,89,65.2,,
anantaprmdya,"ur number 1 awf fan","Palu • ‘01",77,91,"15 May 2014 03:55:03","1,153","03 Jul 2021 05:10:33","uh, what would u say 2 ur younger—self?",http://instagram.com/anantaprmdya,0,0,0,30,,
diddekarisma,"DIDE KARISMA",,"146,525",450,"09 Sep 2015 18:21:50","56,857","03 Jul 2021 11:55:44","menerima curhatan dalam bentuk dm. kerjasama ➡ 📩 diddekarisma96@gmail.com",http://instagram.com/diddekarisma,3.5,0.5,93.5,86.4,,
PolJokesID,"Dirjen KemenPolJokesID",Indonesia,"186,465",509,"12 Dec 2016 09:39:05","7,008","03 Jul 2021 04:04:17","○ Akun Edukasi Politiknya : https://t.co/wMWfkmbYxW Akun Merchandise dan Toko Bukunya : https://t.co/uhwaU6KTSQ",https://linktr.ee/PolJokesID,33.7,17.6,47.2,83.4,,
nblh_ayu,"Nabilah Ayu",Indonesia,"79,167",135,"22 Oct 2017 13:01:34","1,413","03 Jul 2021 11:27:21","⚖️ Instagram : nblh.ayu",http://www.tiktok.com/@nblh.ayu,65.3,19.4,1,64.9,,
gr3xck,"🐬🐬🐬🐬🐬🐬🐬🐬🐬🐬🐬🐬🐬🐬🐬🐬🐬🐬🐬🐬🐬🐬🐬🐬",,"5,703",558,"21 Aug 2018 09:36:48","28,590","03 Jul 2021 13:57:12",helicopter,,14,6,67.5,73.9,,
m00ncherry,"double your mask","Bali, Indonesia","8,062",776,"06 Jan 2019 03:22:55","43,282","03 Jul 2021 13:41:29","soo nikkkk | https://t.co/apGGTgVEr2",,13.5,11.5,51,59.2,,
libertees_id,"IG: @libertees.id",Yogyakarta,"18,281",497,"28 Apr 2019 08:14:20","10,130","03 Jul 2021 12:41:25","Usaha tanpa bos yg bergerak di bidang sandang. Sedikit jualan banyak shitpost-nya. Kalo mau beli klik link di bawah ini, tp kalo ga mau juga gpp 👍🏼",https://linktr.ee/libertees.id,14.5,6.5,76.5,74.2,,
irahanindira,Iraa,"pulau kapuk","18,905",664,"13 Aug 2019 14:10:09","55,528","15 Jun 2021 03:44:39","selection👉👈",http://www.niallhoran.com,2,1,91.5,41.2,,
BuruhYogyakarta,"Buruh Yogyakarta","Yogyakarta, Indonesia","15,819",532,"03 Mar 2020 01:04:11","21,643","04 Jul 2021 11:42:48","Akun yang sering ngomongin buruh dan isu lainnya, terutama soal Jogja. Twit tidak mewakili serikat mana pun.",https://linktr.ee/BuruhYogyakarta,11.1,63.8,27.6,83.9,,
rzrgrx,.,"♻","3,046",185,"03 Jul 2020 03:33:29","21,715","24 Jun 2021 22:17:03",----,,0,0,0,60.8,,
MetalBlade,"Metal Blade Records","Los Angeles, CA","341,720","3,259","26 Sep 2008 00:40:51","52,900","03 Jul 2021 00:01:00","Home to the greatest & most influential artists in heavy music since 1982! Facebook, Youtube & Instagram (at)metalbladerecords / https://t.co/N41COCPGep",http://www.metalblade.com,48.5,50.5,1.5,72,,
radenrauf,"Raden Rauf AM",Indonesia,"2,731,879",962,"27 Mar 2009 08:06:01","184,972","03 Jul 2021 14:20:58","Relationship Tips. Photography. Race Car Driver. Biro Jodoh #LoveStory Setiap Malam Minggu. 📧: emailnyaaup@gmail.com",http://www.youtube.com/c/radenrauf,12.9,47.4,5.2,92.8,,
selphieusagi,Selviana,,"86,755","1,014","18 May 2009 14:09:45","98,613","03 Jul 2021 08:37:05","Contact via DM / WA: 0817-279-123 (Riri)",http://instagram.com/selphieusagi,35.4,25.3,29.8,81.1,,
stelacnau,"Stela Nau",Indonesia,"4,691",646,"29 Jun 2009 07:03:03","3,729","03 Jul 2021 02:19:43","Lifelong student. Love to talk about politics, media & technology. Building generations of East Nusa Tenggara. https://t.co/fsQPIdD3RT",,29.9,33.5,24.9,54.6,,
priyapriyapriya,"priya triariopanji",,"8,867",675,"12 Aug 2009 10:00:45","3,151","10 Oct 2019 21:31:32",,,12.1,73.2,4,9.5,,
aldoisme,aldo,"In the middle of nowhere",440,348,"18 Sep 2009 10:26:27","36,471","03 Jul 2021 10:27:11",,,0,0,0,27.7,,
yunartowijaya,"Yunarto Wijaya",,"424,527","1,045","12 Nov 2009 10:33:55","59,005","03 Jul 2021 07:42:18","Warga Negara Indonesia, Manusia Biasa, Ayah & Suami Paling Bahagia, Insan kecil dihadapanNya, Twit bersifat pribadi... Anugerah Bagiku...",,34.5,51,9.5,78.7,,
EstellaEdsa,"Edsa Estella",,"2,679",192,"10 Jan 2010 08:52:56","5,979","01 Jan 1970 00:00:00","Sel-positivity & healthy lifestyle believer. Also a hardcore food & gym enthusiast. Youtube: Edsa Estella IG/Tiktok: edsaestella | DM for business inquiries.",,30.7,10.6,44.2,52.5,,
glrhn,"IG: r.galileo","Between those li(n)es.","46,736",787,"03 Apr 2010 02:09:47","96,434","03 Jul 2021 13:20:16","I'm a great liar. And if I tell you that I'm being honest about it, would you believe me? The Daddy without sugar. #ParentingRants rahan.galileo@gmail.com",https://www.youtube.com/c/TheGalileos,24.5,11,69.5,80,,
_iSep,"Lha, kok, di","Garasi, Indonesia, Dunia Fana",489,974,"27 Jun 2010 16:28:58","39,429","04 Jul 2021 14:26:20","menurut lo gimana??? likes cuma buat dibaca nanti, rituit ya karena iseng aj... :v",https://twitter.com/#!/_iSep,0,0,0,45.2,,
thaliawlndr,thalia,"Bandung, Indonesia","106,500","1,752","15 Sep 2010 08:24:43","90,839","02 Jul 2021 16:11:00","dm or email stellarthalia@gmail.com 💌",http://www.instagram.com/thaliawlndr,3.5,1.5,92,80.6,,
Mhdafi,Dafi,Semarang,"99,504",407,"25 Jan 2011 10:23:03","57,294","03 Jul 2021 12:22:08","dikelola swasta",,2,1,95,76,,
qwonidin,"qoni 🇵🇸",Jakarta,"47,149",695,"29 Apr 2011 09:08:53","50,488","03 Jul 2021 12:20:12","oleng kapten bismillah meninggal",https://www.instagram.com/kebabcasablanca/,8.5,3,82,78.8,,
jek___,jek,indonesia,"1,173,949",160,"06 Oct 2011 14:06:44","139,129","03 Jul 2021 14:19:18","penulis buku #BincangAkhlak (2019), #sobatsakit (2020)▪️business: 081222147512 - Barlie.ve@gmail.com @barlieve",https://instagram.com/je.k___/,4.5,0,94,96,,
Coretanditoilet,Badjingan!,"Reruntuhan Peradaban.","3,182","1,002","26 Feb 2012 05:35:03","113,624","04 Jul 2021 15:53:52","Hampir semua coretan-coretanku bisa dinikmati di sini: http://trakteer.id/__badjingan",https://secreto.site/12190285,19,26,35.5,50.5,,
ririepriria,"aku kembali",,"4,894",974,"18 Jul 2012 09:01:16","12,305","02 Jul 2021 16:29:45",,https://www.instagram.com/riri_epriria,14.1,40.8,50.3,38,,
HistoryAsia,HistoryAsia,,"13,611",76,"06 Nov 2012 10:43:02","4,761","01 Mar 2020 09:00:00","We are on a journey to bring to life monumental moments and stories that informs and entertains - and we’re inviting you to come along. #HISTORY",http://fb.com/HistoryAsia,98.5,0,2,26.5,,
AURORAmusic,AURORA,Moon,"207,301",405,"22 Apr 2013 16:49:05","4,390","02 Jul 2021 13:42:40","✨🎭✨",https://Aurora.lnk.to/presaveTW,73.9,15.1,9,79.1,,
fariqhsb,hsb,,"11,808",614,"03 Dec 2013 11:07:44","131,322","04 Jul 2021 03:23:16",,http://instagram.com/fariqhsb,21.5,0.5,72,43,,
stupiditySilent,"No One","Kota Surabaya, Jawa Timur","17,886",147,"19 Sep 2014 20:10:11","40,217","13 May 2021 04:07:53","ing ngarso sung tulodo, ing madyo mangun karso, dituturi tambah wani.",http://instagram.com/stupiditysilent/,23,0,74.5,58.7,,
francmohede,"François Mohede","Jakarta Capital Region, Indone","54,057",707,"13 Dec 2015 19:08:54","10,265","03 Jul 2021 13:39:42","@BaanMuayThai 🇮🇩 owner - trainer - promoter - producer",https://instagram.com/francmohede,38.5,10,48,70.8,,
Ayy_only,Ayy,"INA - 🇮🇩","195,376",973,"14 Apr 2017 09:37:18","247,192","04 Jul 2021 09:02:07","☘💍☘ // 💌DM For Business Inquiries💌 // https://sociabuzz.com/ini__ayy",http://instagram.com/ini__ayy,0,0,99.5,83.7,,
tttokebi,"ً",,"15,454","2,517","23 Mar 2018 04:14:53","83,142","03 Jul 2021 14:18:21","akun dakwah",http://instagram.com/yennykonardy,2.5,4.6,90.9,66,,
ayubsr,Ayu,,"503,446",949,"10 Nov 2018 02:47:13","45,709","03 Jul 2021 13:26:14","iya, ini aku • 📩 ayubsr009@gmail.com •",http://www.instagram.com/ayu.bsr,0,0,91.5,88.9,,
Santi_nya,"Santi kzl",Hatimu,"570,641",463,"27 Jan 2019 12:52:34","44,796","03 Jul 2021 12:24:49","jangan dibecandain | 📩 santikazola29@gmail.com",https://www.instagram.com/santi_kazola,2.5,2,84,89.7,,
shadiiiq,"Diq◽","dimana-mana hatiku senang","19,327","1,131","31 May 2019 23:15:31","38,034","03 Jul 2021 13:33:37","no more quotes~",,3.5,1,97,71,,
YDPMahabharata,"Yudhistira Mahabharata",,181,406,"23 Oct 2019 05:32:51","1,239","03 Jul 2021 14:16:20","Jurnalisme Rasa @voidotid",https://bit.ly/3cufrKs,0,0,0,31.4,,
ahnafairuzuhdy,"Ahnaf Fairuzuhdy",IR,"17,196",925,"14 Apr 2020 17:30:26","10,722","04 Jul 2021 09:30:58","I talk about university life and self-development.",http://instagram.com/ahnafairuzuhdy,21,24.5,45.5,61.2,,
FraksiRakyatID,"Fraksi Rakyat Indonesia","di hati rakyat sesungguhnya","7,846",230,"14 Sep 2020 10:58:28","2,947","02 Jul 2021 16:49:38","Indonesia People's Fraction (Civil Society Coalition); akun 1 @FraksiRakyat_ID (proses recovery); *akun 2 (now active)*; akun 3 @fraksi_rakyatID (alternate);",https://awasomnibuslaw.org,14,85,0,72.9,,
DarkFuneral,"Dark Funeral",Sweden,"30,919",0,"20 Jan 2009 23:35:00","3,366","23 Jun 2021 15:58:28","Dark Funeral- The ineffable kings of Swedish Black Metal - are without doubt one of the most notorious and highly regarded of the Black Metal genre.",http://www.darkfuneral.se,99,0,0.5,40.8,,
ismailfahmi,"Ismail Fahmi","Jakarta Selatan, DKI Jakarta","94,848","1,397","21 Apr 2009 22:47:05","32,784","03 Jul 2021 13:51:46","PhD in Information Science | Author of Membaca Indonesia 1-5 | Founder of Drone Emprit and Media Kernels Indonesia | https://t.co/L2Ibn7Ffmf | #datascience #OSI",https://pers.droneemprit.id,32.5,22,49,79.2,,
negativisme,NEG,Indonesia,"151,264",333,"30 May 2009 05:24:50","85,846","04 Jul 2021 06:13:43","sedikit sarkastik perbanyak ngikik. gak mahir nyinyir palingan nyatir",http://www.instagram.com/negativisme,75,14,10,74.6,,
zenrs,"Zen RS","Di antara Larashati dan Serat","135,153","1,022","16 Jul 2009 18:39:21","83,370","03 Jul 2021 16:42:30","founder of @panditfootball | former editor at large @tirtoid | chief of content @narasitv | chief editor @narasinewsroom",http://kurangpiknik.tumblr.com/,38.5,20.5,47.5,72.8,,
lalasati,"kirana laras","Jakarta Capital Region","2,748",761,"27 Aug 2009 03:27:32","141,535","01 Jan 1970 00:00:00","“Ketika kamu takut kehilangan sesuatu, sejatinya kamu sedang lupa bahwa tak ada yang melekat pada dirimu saat ini, melainkan ia hanya sekedar titipan.”",https://shopee.co.id/texaroutfit?smtt=0.0.9,28.6,19.1,41.7,54.7,,
Vennyulinda,"Venny Yulinda","on your deepest ego",908,458,"01 Oct 2009 11:47:03","41,817","03 Jul 2021 07:40:08","bukan toserba, ngapain kemari?",http://messengerfrumhell.tumblr.com/,0,0,0,34.6,,
idgarirang,"Gusti Arirang",Internet,"2,964",668,"10 Dec 2009 12:35:04","31,678","02 Jul 2021 13:51:55","Prestasi Yes, Narkoba No",http://www.instagram.com/tashoora,14,26.5,42,49,,
ranijuliernesta,"WEAR YOUR MASK!",Malaysia,"5,428",368,"10 Feb 2010 13:33:22","44,293","03 Jul 2021 13:05:30","akun shitposting",https://instagram.com/ranijuliernesta,31,3,68.5,59,,
angginoen,"Yosep Anggi Noen",yogyakarta,"11,273","1,967","02 May 2010 12:32:54","27,202","02 Jul 2021 14:16:56","Director of THE SCIENCE OF FICTIONS, main competition - special mention award @filmFestLocarno 2019.",https://instagram.com/kawankawanmedia?igshid=1e3hvn4jlint7,24.5,11.5,53.5,78,,
jecitalks,"‏َ",,741,411,"31 Jul 2010 11:40:35","17,740","01 Jan 1970 00:00:00","gfriend slow collector",https://secreto.site/id/1650512,0,0,0,38.2,,
trendingtopiq,"Ahmad Taufiq","Ленинградский район, Россия","49,552","1,055","25 Oct 2010 12:01:44","159,229","03 Jul 2021 15:06:02","Anak magang di http://Birokreasi.com (iye, tahu, expired kan?). Pengamat Brazil. Sudah punya anak dan istri. 👍",,16.5,26.5,56.5,87.9,,
filsufabal,"Amadea Svastika 李",Indonesia,"1,188",712,"07 Mar 2011 13:35:30","39,507","01 Jan 1970 00:00:00","Co-inisiator of @schole_id. Medieval and ancient philosophy enthusiast. Augustine of Hippo fangirl. Twitnya kadang ngomongin filsafat, skincare, dan recehan.",http://filsufabal.wordpress.com,0,0,0,49.1,,
mahardikayusuff,yusufmahardika,,"61,505",206,"21 May 2011 14:00:20","8,247","02 Jul 2021 19:45:54","PARANOID sudah tayang 👉https://t.co/A4tOMQJhhS",https://youtube.com/c/YusufMahardikaa,31.4,38.7,10.3,54.7,,
bintangbete,"ig @abintangtimur",BEKASI,"75,438",469,"04 Dec 2011 18:37:36","82,298","03 Jul 2021 14:20:17","Pria penghibur, stand up comedy, kadang maen film, kadang sinetron, kadang FTV, kadang nginep di kos putri. Minat? 0812 9466 7059 (Wanto)",https://www.youtube.com/channel/UCzqBYZ3l3PJaIn4KjvjClYg,14.6,44.7,25.6,69.2,,
tweetmiliter,"Tweet Militer","Denpasar du Sud, Indonésie","59,621",795,"13 Apr 2012 09:20:54","166,827","25 Jun 2021 05:07:46","Tweets in ID-EN | Talks about Military, Security and Defense matters | Giving you the latest info about recent Global conflicts & Military Developments",,86.5,2,12,69.2,,
ledzeppelin,"Led Zeppelin",UK,"679,640",0,"06 Sep 2012 21:13:24",272,"18 Jun 2021 10:00:31","The Official Led Zeppelin Account",http://www.ledzeppelin.com,96.5,2,0,67.5,,
ReyhanIsmail_,"Reyhan Ismail","📩 reyhanismail97@gmail.com","74,354",883,"25 Dec 2012 06:12:05","34,144","03 Jul 2021 13:48:14","muda, beda dan ngga berguna",https://www.reyhanismail.com,9,0.5,68.5,68.6,,
ffay___,fay,,487,254,"26 Jun 2013 04:33:45","14,086","03 Jul 2021 01:55:12","anything for jung hoseok & jeong jaehyun",,0,0,0,45.5,,
the_geotimes,GEOTIMES,"DKI Jakarta, Indonesia","51,606",747,"01 Mar 2014 08:19:27","177,890","03 Jul 2021 11:38:25","Kolom dan Opini Populer Terkini. Ruang bagi para pembaca dengan perspektif tajam dari para pakar dan publik seputar agama, ekonomi, politik, dan sosial.",https://geotimes.id,100,0,0,59.2,,
pandaluthu,"🌻","Seoul, Republic of Korea",548,594,"29 Jan 2015 07:13:58","27,464","03 Jul 2021 12:01:33","Hello, ada perlu apa?",https://secreto.site/id/12369147,0,0,0,38.3,,
pengenchinese,"your fav human","Kota Surabaya, Jawa Timur",32,79,"07 Aug 2016 10:19:59",499,"01 Jul 2021 05:32:10","persambatan duniawi",,0,0,0,24,,
RahmanVanny,"El Rahman",,"1,025",540,"05 Aug 2017 13:48:18","3,378","01 Jul 2021 04:45:50","State Islamic University of Syarif Hidayatullah | Airlangga University | IDN Times Journalist | The Reds~ vanny.rahman@idntimes.com",,0,0,0,46.9,,
Aan_Hantorov,"IG: aanhantoro",Semarang,"3,894",139,"13 Jun 2018 09:30:48","18,659","03 Jul 2021 13:02:11","Politik-Militer | Kontra Terorisme-Deradikalisasi | Sejarah-Musik-Buku | Sepak Bola-Milanisti | Alicia Keys-Avril Lavigne-Adele Smith & Allie Sherlock!",http://derwissen.blogspot.com,63,17,34.5,58.9,,
crunchv_,.,Indonesia,"11,448",788,"03 Dec 2018 13:38:57","41,982","03 Jul 2021 14:19:22","gk dulu",,27,1.5,61.5,50.4,,
word2trash,reck,"Shibuya-ku, Tokyo","59,956",569,"17 Mar 2019 09:29:23","40,583","30 Jun 2021 10:28:56","anak baik",,34,14,25.5,78.2,,
memefess,memelord,"ur timeline","237,985",5,"01 Jul 2019 12:06:29","45,160","04 Jul 2021 11:55:04","Bot acc. Tweets are submissions and posted automatically. Retweet ≠ Endorsement. Not accepting paid promote tweets, only memes | Submit via Discord",https://discord.gg/uanFuAWbPT,93.5,4.5,0.5,89.2,,
rhinoxeros_,"Sussy Baka Similikiti",Sakuragaoka,"10,053",366,"19 Dec 2019 09:09:45","10,803","03 Jul 2021 08:45:12","CEO PT MioAkiyamaSex1992🤩",,21.5,0,96,69.5,,
Txtdariseragam,Txtdrberseragam,,"50,449",28,"12 May 2020 15:06:43",175,"04 Jul 2020 14:25:10","DM untuk Sumbit atau hapus Konten",,86.9,1.1,13.1,63.2,,
xnact,ven,,"3,147",257,"23 Dec 2020 07:41:26","4,693","03 Jul 2021 09:48:02",they/them,,36.5,3.5,39.5,53.9,,
ivanlanin,"Ivan Lanin","ivanlanin di gmail titik com","786,540","2,934","06 Jul 2007 20:28:47","78,192","04 Jul 2021 15:16:58","Wikipediawan pencinta bahasa Indonesia, pendiri @narabahasa, dan perangkai kata @kapitulis",https://linktr.ee/ivanlanin,41.5,0,93,87,,
keziadeb,Kezia,ID,630,522,"02 Mar 2009 07:12:47","33,369","01 Jan 1970 00:00:00","I get too hungry for dinner at eight.",,0,0,0,47.6,,
LaniEleonora,"Lani Eleonora",,"2,059",716,"04 May 2009 13:50:31","28,168","03 Jul 2021 14:16:09","Berjalan perlahan, tapi party",,0,0,0,49.1,,
dewirieka,"Anak Kos Dodol Terbit Juli 2021","Semarang, Jawa Tengah","9,832","7,666","19 Jun 2009 11:13:20","48,577","03 Jul 2021 00:23:57","Indonesian Author|Blogger Semarang|Penulis Buku #AnakKosDodol #PetualanganRumi & #SuksesJadiTravelBlogger | #PengenKeKorsel",http://www.dewirieka.com,21.6,23.6,48.7,56.3,,
hadfisyhd,"Hadfina Syahieda","Yogyakarta, Indonesia","1,157",515,"31 Jul 2009 06:39:23","47,387","03 Jul 2021 14:18:51",,,0,0,0,44.4,,
UCxUP,"P X L C U U F ™",unknown,"143,503",600,"04 Sep 2009 19:36:32","32,418","02 Jul 2021 14:10:01","Produk Gagal [Industri Hiburan] Era Informatika™ | IG : @flux.cup",https://www.youtube.com/fluxcup,35.5,10,49,78.6,,
wisnuops,"Wisnu Subekti","Jakarta, Indonesia","9,965",587,"17 Oct 2009 11:38:23","2,697","30 Jun 2021 13:14:27","Math & Physics teacher at @ZeniusEducation Happy to discuss math, physics, or logic",http://www.zeniuseducation.com,34.3,33.8,36.4,31.5,,
arifz_tempo,"arif zulkifli",,"106,014",599,"24 Dec 2009 14:02:51","24,619","20 Jun 2021 15:03:06","Kepala Pemberitaan Korporat Tempo Media. Anggota Dewan Pers. Tweet bersifat pribadi",,29.5,26,47,65.1,,
ummihasfa,"IG: diannafi",about.me/diannafi,"7,810","8,582","10 Mar 2010 04:10:57","104,057","03 Jul 2021 14:13:58","writer - blogger - architect #HowToResetYourLife #NovelBanu #MuslimahCantikGayaSholihah #MatahariMataHati #Socioteenpreneur #GetarkanFrekuensimuRaihMimpimu dll",https://linktr.ee/diannafi,39,13.5,35.5,56.4,,
riqiviana,"riki noviana","Buitenrock City",917,448,"02 Jun 2010 04:13:25","18,103","01 Jun 2021 04:13:27","Music journalist, currently writing biography of POWERSLAVES",http://www.trickynoteviana.wordpress.com,0,0,0,18.7,,
bayu_yudistira,Bay,"Pekan Baru, Riau","2,135","1,043","28 Aug 2010 05:58:44","17,710","01 Jan 1970 00:00:00","🇸🇦🇮🇩 batman addict | Juventus club indonesia",https://www.instagram.com/bayuyudistira/,0,0,0,48,,
NoniZara,Nyonyi,"Bali, Indonesia","22,679",535,"06 Dec 2010 07:19:17","59,470","03 Jul 2021 12:21:17","Always excited about pastry & bakery. CP : nonizara@gmail.com",,24.5,10,63.5,62.3,,
mbooonnn,"I WANT YOU TO THE",JOGLOSEMAR,"3,224",868,"03 Apr 2011 03:56:19","59,794","04 Jul 2021 02:48:05","ᵈᵃᶜʰˡᵃᶜʰ",http://instagram.com/mbooonnn,5.5,1.5,89,58.1,,
sarahnabaileys,Nabaileys,,913,290,"06 Aug 2011 05:08:07","6,552","03 Jul 2021 12:09:43",,http://instagram.com/sarahnabaileys,0,0,0,36.9,,
penagenic,"Seekor Badut","@kotajancuk & @malampuisiSUB","47,007",591,"28 Jan 2012 12:27:41","29,430","03 Jul 2021 13:47:16","Juru bicara rindu dan cerita-cerita yang belum selesai. • https://t.co/A9PTImKPKK",http://linktr.ee/penagenic,14.4,76.9,2.6,67.2,,
Updatext,idiotikasta,,"4,076",925,"02 Jun 2012 07:27:02","44,480","04 Jul 2021 04:05:08","fundamental kehidupan ✨",,8,11,77,70.9,,
LaodeMSyarif,"Laode M Syarif",Indonesia,"21,100",516,"09 Oct 2012 07:06:51","19,389","03 Jul 2021 10:26:00","Environmental Law Expert-Anti Corruption Activist-KPK Commissioner 2015-2019-Lecturer, Hasanuddin University Law School, Executive Director of KEMITRAAN",http://www.kemitraan.or.id,38.5,59,12,63.9,,
bukuakik,"Minke Akik",jogja,"38,981",838,"26 Feb 2013 12:09:10","5,831","03 Jul 2021 13:34:20","judge book by its shop. jualan buku di instagram (@bukuakik) tapi pengen twitteran jugak. jrg balas dm, mau beli buku? cek https://t.co/05HHWnAcYA",http://www.instagram.com/bukuakik,57.3,10.1,21.1,75.7,,
Islamic_MSS,"Islamic Manuscripts","Cambridge, England","5,816",141,"05 Sep 2013 19:37:14",772,"03 Aug 2020 08:52:58","هيئة المخطوطات الإسـلامية - The Islamic Manuscript Association - protecting Islamic manuscript collections worldwide and supporting those who work with them",http://www.islamicmanuscript.org,46.5,38.5,13,24.2,,
racheltjhia,Rach,,"244,537",925,"15 May 2014 06:12:47","10,054","04 Jul 2021 08:36:54","福.",http://instagram.com/rchelcia,23,20.4,38.8,79.6,,
